player_name,player_id,season,poss,MP,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jalen Lecque,lecquja01,2021,27,12,5.649456969291209,4.332456271636628,9.981913240927838,-17.25198344322361,6.015752994614173,-11.23623044860944,1.239916417887896,5.000418258765642,6.240334676653537,.05269767199528,.05269767199528,0,-1.264530323188008,3.188463616349094,1.923933293161086,-4.299195502466504
Damion Lee,leeda03,2021,2320,1079,.1273464131009445,1.414606037517498,1.541952450618442,.783529180157174,-.2977596246181268,.4857695555390471,.2836404849122212,1.126479247317832,1.410119732230054,2.278080146971992,2.278080146971992,0,.1935404815428415,1.441409097336495,1.634949578879336,-.5327732656488282
Saben Lee,leesa01,2021,1189,575,-1.804468070855701,-1.344997844229011,-3.149465915084712,-3.734518225449587,-2.276819201994877,-6.011337427444465,-2.287618389771412,-1.612429453480485,-3.900047843251897,-.3356799539389684,-.3356799539389684,0,-3.224928182573559,-.9395846069900767,-4.164512789563635,-.5096712188081696
Alex Len,lenal01,2021,1861,842,-2.718871021474732,.7992399624792746,-1.919631058995458,-2.325591291824991,-.4734261932806316,-2.799017485105622,-2.790483663717262,.6051390679867521,-2.18534459573051,.2436214786370091,.2436214786370091,0,-3.446445143525618,.0986772992641871,-3.347767844261432,.3379947531149337
Kawhi Leonard,leonaka01,2021,3221,1581,5.964745286206784,1.767196216926883,7.731941503133667,8.063002819066051,.9225538218237628,8.985556640889815,6.652329067172357,1.681413264750353,8.333742331922709,8.867064713441192,8.867064713441192,0,6.33601835581308,2.241517562190138,8.577535918003218,-.8282486071745387
Meyers Leonard,leoname01,2021,61,29,-3.461632905174644,-8.375255205005143,-11.83688811017979,-3.606625311920776,5.99579909689828,2.389173784977504,-3.7119135505409,-5.939064265740857,-9.650977816281756,-.1045028738435192,-.1045028738435192,0,-4.802101615491876,-5.655450933593618,-10.45755254908549,2.369608389867549
Caris LeVert,leverca01,2021,2463,1136,.7523622111984738,1.748563797291389,2.500926008489863,-1.965113384155548,-1.264848743084081,-3.229962127239628,.1867559296084042,1.236136322966931,1.422892252575336,2.414036973511821,2.414036973511821,0,1.065307844523957,1.291440656714501,2.356748501238458,.7628899862786706
Kira Lewis Jr.,lewiski01,2021,1547,724,-.2837494747232514,-1.518454233488808,-1.802203708212059,-1.386537318259951,1.982063057876271,.5955257396163205,-.5644104630977589,-.8618270585931973,-1.426237521690956,.4890195113745267,.4890195113745267,0,-.7094162300327732,-.7141110867955136,-1.423527316828287,.0086217420666351
Damian Lillard,lillada01,2021,4271,2041,6.777843989903181,-4.326515373248985,2.451328616654196,4.545895356215688,-1.845205409739137,2.70068994647655,6.642431651817364,-4.01659385446998,2.625837797347384,5.675487869497444,5.675487869497444,0,7.395274389659713,-4.109805362918236,3.285469026741477,1.397746940461879
Nassir Little,littlna01,2021,1208,588,-1.234213389821091,-2.87094354178861,-4.105156931609701,1.58081044122981,-6.021151427559595,-4.440340986329785,-.7659733748812994,-3.649376176083367,-4.415349550964667,-.4948481474286696,-.4948481474286696,0,-.7552988127220134,-4.090549239420492,-4.845848052142505,-.9600785937718518
